departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Puno;211105;MUNICIPALIDAD DISTRITAL DE SAN MIGUEL;Gobierno local;San Roman;San Miguel;7;11;45872867;Presupuesto institucional total del pliego;ANEXO-7-2-2:226
Puno;211201;MUNICIPALIDAD PROVINCIAL DE SANDIA;Gobierno local;Sandia;Sandia;7;12;30480861;Presupuesto institucional total del pliego;ANEXO-7-2-2:227
Puno;211202;MUNICIPALIDAD DISTRITAL DE CUYOCUYO;Gobierno local;Sandia;Cuyocuyo;7;6;8575824;Presupuesto institucional total del pliego;ANEXO-7-2-2:227
Puno;211203;MUNICIPALIDAD DISTRITAL DE LIMBANI;Gobierno local;Sandia;Limbani;7;6;4998947;Presupuesto institucional total del pliego;ANEXO-7-2-2:227
Puno;211204;MUNICIPALIDAD DISTRITAL DE PATAMBUCO;Gobierno local;Sandia;Patambuco;7;8;6815670;Presupuesto institucional total del pliego;ANEXO-7-2-2:227-228
Puno;211205;MUNICIPALIDAD DISTRITAL DE PHARA;Gobierno local;Sandia;Phara;7;6;9835894;Presupuesto institucional total del pliego;ANEXO-7-2-2:228
Puno;211206;MUNICIPALIDAD DISTRITAL DE QUIACA;Gobierno local;Sandia;Quiaca;7;7;6569090;Presupuesto institucional total del pliego;ANEXO-7-2-2:228
Puno;211207;MUNICIPALIDAD DISTRITAL DE SAN JUAN DEL ORO;Gobierno local;Sandia;San Juan Del Oro;7;6;3602085;Presupuesto institucional total del pliego;ANEXO-7-2-2:228
Puno;211208;MUNICIPALIDAD DISTRITAL DE YANAHUAYA;Gobierno local;Sandia;Yanahuaya;7;6;2862897;Presupuesto institucional total del pliego;ANEXO-7-2-2:228-229
Puno;211209;MUNICIPALIDAD DISTRITAL DE ALTO INAMBARI;Gobierno local;Sandia;Alto Inambari;7;7;10917465;Presupuesto institucional total del pliego;ANEXO-7-2-2:229
Puno;211210;MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE PUTINA PUNCO;Gobierno local;Sandia;San Pedro De Putina Punco;7;7;14991432;Presupuesto institucional total del pliego;ANEXO-7-2-2:229
Puno;211301;MUNICIPALIDAD PROVINCIAL DE YUNGUYO;Gobierno local;Yunguyo;Yunguyo;7;15;26576242;Presupuesto institucional total del pliego;ANEXO-7-2-2:229
Puno;211302;MUNICIPALIDAD DISTRITAL DE ANAPIA;Gobierno local;Yunguyo;Anapia;7;5;1564159;Presupuesto institucional total del pliego;ANEXO-7-2-2:230
